track_name,artist_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,hotness,cluster
above and beyond,don gibson,3XNwaKqSnAirzXN2OQGF3d,0.525,0.336,7,-15.944,1,0.0434,0.953,0.0416,0.132,0.788,144.376,audio_features,3XNwaKqSnAirzXN2OQGF3d,spotify:track:3XNwaKqSnAirzXN2OQGF3d,https://api.spotify.com/v1/tracks/3XNwaKqSnAirzXN2OQGF3d,https://api.spotify.com/v1/audio-analysis/3XNwaKqSnAirzXN2OQGF3d,127547,4,no,8
bill,oscar peterson,2VnrlK8fagFRb1SF6p0S6g,0.633,0.602,8,-12.35,1,0.0366,0.704,0.284,0.0791,0.853,112.685,audio_features,2VnrlK8fagFRb1SF6p0S6g,spotify:track:2VnrlK8fagFRb1SF6p0S6g,https://api.spotify.com/v1/tracks/2VnrlK8fagFRb1SF6p0S6g,https://api.spotify.com/v1/audio-analysis/2VnrlK8fagFRb1SF6p0S6g,159993,4,no,11
bread and roses,judy collins,1zBpuHWodpDufPON9nnxLY,0.35,0.186,10,-15.875,1,0.0395,0.874,0.0,0.19,0.342,118.275,audio_features,1zBpuHWodpDufPON9nnxLY,spotify:track:1zBpuHWodpDufPON9nnxLY,https://api.spotify.com/v1/tracks/1zBpuHWodpDufPON9nnxLY,https://api.spotify.com/v1/audio-analysis/1zBpuHWodpDufPON9nnxLY,185267,3,no,11
it will be me,faith hill,3acRlI6blIFTqSLdPNoWPG,0.527,0.442,7,-10.985,1,0.0295,0.465,0.0,0.144,0.447,133.137,audio_features,3acRlI6blIFTqSLdPNoWPG,spotify:track:3acRlI6blIFTqSLdPNoWPG,https://api.spotify.com/v1/tracks/3acRlI6blIFTqSLdPNoWPG,https://api.spotify.com/v1/audio-analysis/3acRlI6blIFTqSLdPNoWPG,226560,4,no,5
dancing through sunday,afi,4O5GKVbnQ8U9BxYWu0hIug,0.555,0.98,3,-2.849,0,0.0947,0.00291,0.0,0.279,0.643,114.078,audio_features,4O5GKVbnQ8U9BxYWu0hIug,spotify:track:4O5GKVbnQ8U9BxYWu0hIug,https://api.spotify.com/v1/tracks/4O5GKVbnQ8U9BxYWu0hIug,https://api.spotify.com/v1/audio-analysis/4O5GKVbnQ8U9BxYWu0hIug,146667,4,no,8
the crowd,roy orbison,2FNMqr56jFSLyI2GcKgM68,0.266,0.337,5,-9.549,1,0.0304,0.809,9.8e-05,0.0765,0.438,91.755,audio_features,2FNMqr56jFSLyI2GcKgM68,spotify:track:2FNMqr56jFSLyI2GcKgM68,https://api.spotify.com/v1/tracks/2FNMqr56jFSLyI2GcKgM68,https://api.spotify.com/v1/audio-analysis/2FNMqr56jFSLyI2GcKgM68,144280,4,no,9
bad blood,the flying eyes,0QDtN5ifLue8gO7DP4HGyv,0.346,0.649,9,-5.664,1,0.0359,0.715,0.00096,0.192,0.53,90.023,audio_features,0QDtN5ifLue8gO7DP4HGyv,spotify:track:0QDtN5ifLue8gO7DP4HGyv,https://api.spotify.com/v1/tracks/0QDtN5ifLue8gO7DP4HGyv,https://api.spotify.com/v1/audio-analysis/0QDtN5ifLue8gO7DP4HGyv,233893,4,no,3
politik,coldplay,0u35Dpz37TY2M2j20RUdMf,0.262,0.482,5,-7.75,0,0.0294,0.0364,0.000189,0.11,0.063,170.968,audio_features,0u35Dpz37TY2M2j20RUdMf,spotify:track:0u35Dpz37TY2M2j20RUdMf,https://api.spotify.com/v1/tracks/0u35Dpz37TY2M2j20RUdMf,https://api.spotify.com/v1/audio-analysis/0u35Dpz37TY2M2j20RUdMf,318627,4,no,8
ain't that a shame,champion jack dupree,3VKs9auDQSkcN0EWZrQr2d,0.359,0.533,7,-8.379,1,0.0576,0.949,0.088,0.0622,0.321,204.309,audio_features,3VKs9auDQSkcN0EWZrQr2d,spotify:track:3VKs9auDQSkcN0EWZrQr2d,https://api.spotify.com/v1/tracks/3VKs9auDQSkcN0EWZrQr2d,https://api.spotify.com/v1/audio-analysis/3VKs9auDQSkcN0EWZrQr2d,262680,3,no,3
the sniper,the black angels,3tX4hDnn0n6B066kOFmziQ,0.311,0.709,4,-7.235,1,0.0331,0.000104,0.215,0.156,0.343,108.284,audio_features,3tX4hDnn0n6B066kOFmziQ,spotify:track:3tX4hDnn0n6B066kOFmziQ,https://api.spotify.com/v1/tracks/3tX4hDnn0n6B066kOFmziQ,https://api.spotify.com/v1/audio-analysis/3tX4hDnn0n6B066kOFmziQ,256627,4,no,3
